Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
1º Ano,Quanto é 1+1?,1,2,3,4,B,Fácil,10
1º Ano,Quanto é 2+1?,2,3,4,5,B,Fácil,10
1º Ano,Quanto é 3+1?,3,4,5,6,B,Fácil,10
1º Ano,Quanto é 4+1?,4,5,6,7,B,Fácil,10
1º Ano,Quanto é 5+1?,5,6,7,8,B,Fácil,10
1º Ano,Quanto é 3-1?,1,2,3,4,B,Fácil,10
1º Ano,Quanto é 4-2?,1,2,3,4,B,Fácil,10
1º Ano,Quanto é 5-2?,2,3,4,5,B,Fácil,10
1º Ano,Quanto é 6-3?,2,3,4,5,B,Fácil,10
1º Ano,Quanto é 7-4?,2,3,4,5,B,Fácil,10
1º Ano,Qual é um animal?,mesa,cachorro,livro,casa,B,Fácil,10
1º Ano,Qual é uma fruta?,carro,banana,mesa,livro,B,Fácil,10
1º Ano,Qual é uma cor?,bola,azul,gato,mesa,B,Fácil,10
1º Ano,Qual é um objeto?,correr,mesa,feliz,rápido,B,Fácil,10
1º Ano,O que usamos para ver?,mão,pé,olho,ouvido,C,Fácil,10
1º Ano,O que usamos para ouvir?,olho,nariz,ouvido,boca,C,Fácil,10
1º Ano,O que usamos para comer?,garfo,bola,livro,carro,A,Fácil,10
1º Ano,O que usamos para escrever?,caneta,mesa,bola,carro,A,Fácil,10
1º Ano,Qual forma é redonda?,quadrado,triângulo,círculo,retângulo,C,Fácil,10
1º Ano,Qual número vem depois do 5?,4,5,6,7,C,Fácil,10
