Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
3º Ano,Quanto é 3x4?,10,11,12,13,C,Fácil,10
3º Ano,Quanto é 5x3?,14,15,16,17,B,Fácil,10
3º Ano,Quanto é 20-7?,12,13,14,15,B,Fácil,10
3º Ano,Quanto é 15+8?,21,22,23,24,C,Fácil,10
3º Ano,Quanto é 18÷3?,5,6,7,8,B,Fácil,10
3º Ano,Quanto é 24÷6?,3,4,5,6,B,Fácil,10
3º Ano,Quanto é 7x6?,40,41,42,43,C,Fácil,10
3º Ano,Quanto é 9x3?,25,26,27,28,C,Fácil,10
3º Ano,Qual é o plural de animal?,animais,animales,animalis,animaisos,A,Fácil,10
3º Ano,Qual palavra é verbo?,mesa,correr,casa,bola,B,Fácil,10
3º Ano,Qual palavra é adjetivo?,bonito,correr,mesa,livro,A,Fácil,10
3º Ano,Qual é o contrário de alto?,baixo,grande,longo,forte,A,Fácil,10
3º Ano,Qual é o contrário de rápido?,lento,alto,baixo,forte,A,Fácil,10
3º Ano,Qual frase está correta?,Nós vai brincar,Nós vamos brincar,Nós brincar vamos,Vamos nós brincar,B,Fácil,10
3º Ano,Qual é um substantivo?,correr,mesa,rápido,andar,B,Fácil,10
3º Ano,Qual é um animal?,carro,gato,mesa,livro,B,Fácil,10
3º Ano,Qual é uma fruta?,banana,mesa,caderno,porta,A,Fácil,10
3º Ano,Qual parte do corpo usamos para ver?,olho,nariz,mão,pé,A,Fácil,10
3º Ano,Qual parte usamos para ouvir?,olho,ouvido,mão,pé,B,Fácil,10
3º Ano,Qual é o planeta em que vivemos?,Marte,Terra,Lua,Sol,B,Fácil,10
3º Ano,Qual é o maior planeta?,Terra,Marte,Júpiter,Vênus,C,Fácil,10
3º Ano,Qual gás respiramos?,CO2,Oxigênio,Hélio,Nitrogênio,B,Fácil,10
3º Ano,Qual é um meio de transporte?,mesa,carro,livro,bola,B,Fácil,10
3º Ano,Qual objeto mede o tempo?,régua,relógio,garfo,lápis,B,Fácil,10
3º Ano,Qual objeto mede comprimento?,copo,régua,bola,escova,B,Fácil,10
3º Ano,Quanto é 6x7?,40,41,42,43,C,Fácil,10
3º Ano,Quanto é 8x5?,38,39,40,41,C,Fácil,10
3º Ano,Quanto é 27÷3?,8,9,10,11,B,Fácil,10
3º Ano,Quanto é 30÷5?,5,6,7,8,B,Fácil,10
3º Ano,Quanto é 45-15?,25,30,35,40,B,Fácil,10
3º Ano,Quanto é 60-25?,30,35,40,45,B,Fácil,10
3º Ano,Qual número vem depois de 79?,78,79,80,81,C,Fácil,10
3º Ano,Qual número vem antes de 100?,98,99,100,101,B,Fácil,10
3º Ano,Qual número é par?,11,13,14,15,C,Fácil,10
3º Ano,Qual número é ímpar?,10,12,13,14,C,Fácil,10
3º Ano,Qual palavra indica ação?,andar,mesa,livro,cadeira,A,Fácil,10
3º Ano,Qual palavra é um objeto?,correr,mesa,rápido,andar,B,Fácil,10
3º Ano,Qual é uma estação do ano?,verão,mesa,livro,caneta,A,Fácil,10
3º Ano,Qual é uma profissão?,professor,mesa,livro,bola,A,Fácil,10
3º Ano,Qual é um animal doméstico?,leão,tigre,cachorro,urso,C,Fácil,10
3º Ano,Qual é um alimento saudável?,refrigerante,maçã,doce,batata frita,B,Fácil,10
3º Ano,Qual material faz papel?,madeira,areia,ferro,vidro,A,Fácil,10
3º Ano,Qual atitude economiza água?,fechar torneira,deixar aberta,lavar calçada,brincar,A,Fácil,10
3º Ano,Qual objeto usamos para cortar?,tesoura,bola,livro,mesa,A,Fácil,10
3º Ano,Qual é o som da letra S em 'casa'?,Z,S,X,C,A,Fácil,10
3º Ano,Qual é o som da letra R em 'carro'?,forte,fraco,mudo,não tem,A,Fácil,10
3º Ano,Qual é o feminino de menino?,menina,meninos,meninas,menininha,A,Fácil,10
3º Ano,Qual é o plural de flor?,flores,flor,flors,floris,A,Fácil,10
3º Ano,Qual é o oposto de cheio?,vazio,grande,longo,alto,A,Fácil,10
