Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
4º Ano,Quanto é 24+18?,40,41,42,43,C,Médio,15
4º Ano,Quanto é 56-29?,25,26,27,28,C,Médio,15
4º Ano,Quanto é 8x7?,54,55,56,57,C,Médio,15
4º Ano,Quanto é 36÷6?,5,6,7,8,B,Médio,15
4º Ano,Quanto é 45+27?,70,71,72,73,C,Médio,15
4º Ano,Quanto é 90-47?,41,42,43,44,C,Médio,15
4º Ano,Quanto é 9x9?,80,81,82,83,B,Médio,15
4º Ano,Quanto é 48÷8?,5,6,7,8,B,Médio,15
4º Ano,Qual é o MMC de 4 e 6?,10,12,14,16,B,Médio,15
4º Ano,Qual é o M.D.C de 8 e 12?,2,3,4,6,C,Médio,15
4º Ano,Qual palavra é adjetivo?,correr,mesa,feliz,andar,C,Médio,15
4º Ano,Qual é o antônimo de claro?,escuro,alto,longo,forte,A,Médio,15
4º Ano,Qual frase está correta?,Eles vai brincar,Eles vão brincar,Eles brincar vão,Vão eles brincar,B,Médio,15
4º Ano,Qual é o plural de pão?,pães,pãos,paes,pãoses,A,Médio,15
4º Ano,Qual é o feminino de ator?,atora,atriz,atoras,atrizas,B,Médio,15
4º Ano,Qual é um substantivo?,andar,mesa,rápido,correr,B,Médio,15
4º Ano,Qual é o sujeito em 'Maria corre'?,Maria,corre,frase,nenhum,A,Médio,15
4º Ano,Qual é um verbo?,mesa,correr,casa,bola,B,Médio,15
4º Ano,Qual é o maior planeta?,Terra,Marte,Júpiter,Vênus,C,Médio,15
4º Ano,Qual é o menor planeta?,Terra,Mercúrio,Júpiter,Saturno,B,Médio,15
4º Ano,Qual gás respiramos?,CO2,Oxigênio,Hélio,Nitrogênio,B,Médio,15
4º Ano,Qual é o estado físico do gelo?,líquido,gasoso,sólido,plasma,C,Médio,15
4º Ano,Qual é um meio de transporte?,mesa,carro,livro,bola,B,Médio,15
4º Ano,Qual objeto mede tempo?,régua,relógio,garfo,lápis,B,Médio,15
4º Ano,Qual objeto mede massa?,balança,régua,copo,relógio,A,Médio,15
4º Ano,Quanto é 72÷9?,7,8,9,10,B,Médio,15
4º Ano,Quanto é 7x8?,54,55,56,57,C,Médio,15
4º Ano,Quanto é 63÷7?,7,8,9,10,C,Médio,15
4º Ano,Quanto é 81÷9?,8,9,10,11,B,Médio,15
4º Ano,Quanto é 100-58?,40,41,42,43,C,Médio,15
4º Ano,Quanto é 35+46?,80,81,82,83,B,Médio,15
4º Ano,Qual número é primo?,8,9,10,11,D,Médio,15
4º Ano,Qual número é par?,13,15,16,17,C,Médio,15
4º Ano,Qual número é ímpar?,20,22,24,25,D,Médio,15
4º Ano,Qual é o oposto de alto?,baixo,longo,forte,rápido,A,Médio,15
4º Ano,Qual é o oposto de cheio?,vazio,alto,longo,forte,A,Médio,15
4º Ano,Qual palavra indica ação?,andar,mesa,livro,cadeira,A,Médio,15
4º Ano,Qual é uma estação do ano?,verão,mesa,livro,caneta,A,Médio,15
4º Ano,Qual é uma profissão?,professor,mesa,livro,bola,A,Médio,15
4º Ano,Qual é um animal doméstico?,leão,tigre,cachorro,urso,C,Médio,15
4º Ano,Qual é um alimento saudável?,refrigerante,maçã,doce,batata frita,B,Médio,15
4º Ano,Qual material faz papel?,madeira,areia,ferro,vidro,A,Médio,15
4º Ano,Qual atitude economiza água?,fechar torneira,deixar aberta,lavar calçada,brincar,A,Médio,15
4º Ano,Qual objeto usamos para cortar?,tesoura,bola,livro,mesa,A,Médio,15
4º Ano,Qual é o som do 'x' em 'exame'?,z,s,ch,x,A,Médio,15
4º Ano,Qual é o feminino de leão?,leoa,leona,leões,leas,A,Médio,15
4º Ano,Qual é o plural de flor?,flores,flor,flors,floris,A,Médio,15
4º Ano,Qual é o perímetro de um quadrado de lado 4?,12,14,16,18,C,Médio,15
4º Ano,Qual é a área de um quadrado de lado 5?,20,25,30,35,B,Médio,15
4º Ano,Qual fração representa metade?,1/3,1/4,1/2,2/3,C,Médio,15
