Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
5º Ano,Quanto é 125+37?,150,160,162,170,C,Médio,15
5º Ano,Quanto é 200-85?,110,115,120,125,B,Médio,15
5º Ano,Quanto é 12x8?,86,92,96,104,C,Médio,15
5º Ano,Quanto é 144÷12?,10,11,12,13,C,Médio,15
5º Ano,Quanto é 9x7?,60,62,63,65,C,Médio,15
5º Ano,Quanto é 81÷9?,8,9,10,11,B,Médio,15
5º Ano,Quanto é 56+48?,102,104,106,108,B,Médio,15
5º Ano,Quanto é 1000-375?,600,615,625,650,C,Médio,15
5º Ano,Quanto é 15x6?,80,85,90,95,C,Médio,15
5º Ano,Quanto é 180÷9?,18,19,20,21,C,Médio,15
5º Ano,Qual é o sujeito em 'João estuda muito'?,João,estuda,muito,frase,A,Médio,15
5º Ano,Qual é o verbo em 'Ana corre rápido'?,Ana,corre,rápido,frase,B,Médio,15
5º Ano,Qual palavra é adjetivo?,bonito,correr,mesa,andar,A,Médio,15
5º Ano,Qual é o plural de cidadão?,cidadões,cidadãos,cidadõeses,cidadãoses,B,Médio,15
5º Ano,Qual é o feminino de herói?,heroína,heroa,heróis,heroisa,A,Médio,15
5º Ano,Qual é o sinônimo de feliz?,triste,alegre,baixo,rápido,B,Médio,15
5º Ano,Qual é o antônimo de rápido?,lento,alto,largo,forte,A,Médio,15
5º Ano,Qual frase está correta?,Eles vai estudar,Eles vão estudar,Eles estudar vão,Vão eles estudar,B,Médio,15
5º Ano,Qual é um substantivo?,correr,mesa,andar,rápido,B,Médio,15
5º Ano,Qual palavra indica ação?,pular,mesa,livro,cadeira,A,Médio,15
5º Ano,Qual é o maior planeta do sistema solar?,Terra,Marte,Júpiter,Vênus,C,Médio,15
5º Ano,Qual planeta é conhecido como planeta vermelho?,Marte,Terra,Saturno,Urano,A,Médio,15
5º Ano,Qual gás respiramos?,CO2,Oxigênio,Hélio,Hidrogênio,B,Médio,15
5º Ano,Qual é o estado físico da água no gelo?,líquido,gasoso,sólido,plasma,C,Médio,15
5º Ano,Qual órgão bombeia o sangue?,pulmão,coração,fígado,rim,B,Médio,15
5º Ano,Qual é um meio de transporte?,mesa,carro,livro,bola,B,Médio,15
5º Ano,Qual objeto mede tempo?,régua,relógio,garfo,lápis,B,Médio,15
5º Ano,Qual instrumento mede temperatura?,termômetro,balança,régua,cronômetro,A,Médio,15
5º Ano,Qual atitude ajuda o meio ambiente?,jogar lixo no chão,reciclar,desperdiçar água,poluir,B,Médio,15
5º Ano,Qual é uma fonte de energia?,sol,mesa,livro,cadeira,A,Médio,15
5º Ano,Qual é o resultado de 3/4 + 1/4?,1/2,1,3/4,4/4,B,Médio,15
5º Ano,Qual fração representa metade?,1/3,1/4,1/2,2/3,C,Médio,15
5º Ano,Qual é 50% de 200?,50,75,100,150,C,Médio,15
5º Ano,Qual é o perímetro de um quadrado de lado 6?,18,20,24,30,C,Médio,15
5º Ano,Qual é a área de um quadrado de lado 4?,12,14,16,18,C,Médio,15
5º Ano,Qual número é primo?,9,10,11,12,C,Médio,15
5º Ano,Qual número é par?,13,15,16,17,C,Médio,15
5º Ano,Qual número é ímpar?,20,22,24,25,D,Médio,15
5º Ano,Qual é o resultado de 7x8?,54,55,56,57,C,Médio,15
5º Ano,Qual é o resultado de 64÷8?,6,7,8,9,C,Médio,15
5º Ano,Qual é o oposto de alto?,baixo,longo,forte,rápido,A,Médio,15
5º Ano,Qual é o oposto de cheio?,vazio,alto,longo,forte,A,Médio,15
5º Ano,Qual é uma estação do ano?,verão,mesa,livro,caneta,A,Médio,15
5º Ano,Qual é uma profissão?,professor,mesa,livro,bola,A,Médio,15
5º Ano,Qual é um animal doméstico?,leão,tigre,cachorro,urso,C,Médio,15
5º Ano,Qual é um alimento saudável?,refrigerante,maçã,doce,batata frita,B,Médio,15
5º Ano,Qual material é reciclável?,papel,resto de comida,terra,folha seca,A,Médio,15
5º Ano,Qual objeto usamos para cortar?,tesoura,bola,livro,mesa,A,Médio,15
5º Ano,Qual é o som do 'x' em 'exato'?,z,s,ch,x,A,Médio,15
5º Ano,Qual é o plural de flor?,flores,flor,flors,floris,A,Médio,15
